model,N,Za,Zb,C,disruptor_count,disruptor_fraction,t,h,qa,qb,nr_states,nr_transitions,build_time,check_time,total_time,reach_a,reach_b,reach_consensus,reach_a_first,reach_b_first,reach_robust95_a,reach_robust95_b,reach_robust99_a,reach_robust99_b,exp_consensus_time,status,error
voter_zealots,20,5,5,0,10,0.5,35,40,1.05,0.95,11,20,0.0166449050002484,0.023080425999978615,0.03979943700051081,0.9999997521918774,0.9999750667998379,0.9999999999999996,0.5250000000000001,0.4749999999999998,0.0,0.0,0.0,0.0,0.2,ok,
voter_contrarians,20,0,0,10,10,0.5,35,40,1.05,0.95,121,616,0.017175057999338605,0.019336264000230585,0.036595448999833025,0.9999999999814436,0.9999999999891402,0.9999999999999998,0.504411764705882,0.49558823529411766,0.0,0.0,0.0,0.0,0.11764705882352941,ok,
crossinh_zealots,20,5,5,0,10,0.5,35,40,1.05,0.95,66,220,0.021403684000688372,0.021902569999838306,0.043375391000154195,0.9901335572431165,0.9056443766623719,0.9999999999992178,0.5556730567906724,0.4443269432085462,0.0,0.0,0.0,0.0,0.9904485871093265,ok,
crossinh_contrarians,20,0,0,10,10,0.5,35,40,1.05,0.95,726,4668,0.024732007999773487,0.03189742499944259,0.05673258999922837,0.9999872071311692,0.999987004572692,0.9999999999999998,0.49411268366956695,0.5058873163304327,0.0,0.0,0.0,0.0,0.2724011451622408,ok,
voter_zealots,20,6,6,0,12,0.6,35,40,1.05,0.95,9,16,0.01927535300001182,0.026431753999531793,0.045778814000186685,0.9999998901376165,0.9999918140364071,1.0,0.5249999999999997,0.4749999999999999,0.0,0.0,0.0,0.0,0.25,ok,
voter_contrarians,20,0,0,12,12,0.6,35,40,1.05,0.95,117,596,0.020640880999962974,0.020589508999364625,0.04130523899948457,0.9999999999986336,0.9999999999998538,1.0000000000000002,0.5003164556962028,0.49968354430379713,0.0,0.0,0.0,0.0,0.1265822784810127,ok,
crossinh_zealots,20,6,6,0,12,0.6,35,40,1.05,0.95,45,144,0.018967010000778828,0.018036347999441205,0.037068812000143225,0.9962512516662217,0.957087804620223,0.9999999999999213,0.5540660238426575,0.4459339761572632,0.0,0.0,0.0,0.0,1.112916678397919,ok,
crossinh_contrarians,20,0,0,12,12,0.6,35,40,1.05,0.95,585,3694,0.022673532999760937,0.031431711999175604,0.054261637999843515,0.9999998163882559,0.9999999509165892,1.0000000000000002,0.48849261554516366,0.5115073844548368,0.0,0.0,0.0,0.0,0.25073359386552274,ok,
voter_zealots,30,0,0,0,0,0.0,35,40,1.05,0.95,31,60,0.019165133000569767,0.022050323999792454,0.041278320999481366,0.9502961195958957,0.7779068008483419,0.9999999999999994,0.549875311720698,0.4501246882793023,0.7714843414666133,0.16570281351820834,0.7435587509652691,0.16570281351820834,0.2665954162213514,ok,
voter_contrarians,30,0,0,0,0,0.0,35,40,1.05,0.95,31,60,0.016949177000242344,0.021007350999752816,0.03804363800009014,0.9502961195958957,0.7779068008483419,0.9999999999999994,0.549875311720698,0.4501246882793023,0.7714843414666133,0.16570281351820834,0.7435587509652691,0.16570281351820834,0.2665954162213514,ok,
crossinh_zealots,30,0,0,0,0,0.0,35,40,1.05,0.95,495,1742,0.0180222919998414,0.024371136999434384,0.04248108000047068,0.7274842630014162,0.44799534871397884,0.999999971510071,0.609459391009057,0.3905405805010144,0.6749090489804191,0.3259924851362528,0.6747343906193127,0.32541902268870604,1.7274148640833185,ok,
crossinh_contrarians,30,0,0,0,0,0.0,35,40,1.05,0.95,495,1742,0.019012468000255467,0.02665406100004475,0.045762604000628926,0.7274842630014162,0.44799534871397884,0.999999971510071,0.609459391009057,0.3905405805010144,0.6749090489804191,0.3259924851362528,0.6747343906193127,0.32541902268870604,1.7274148640833185,ok,
voter_zealots,30,2,2,0,4,0.13333333333333333,35,40,1.05,0.95,27,52,0.018325887999708357,0.016229606000706553,0.03461848300048587,0.9993032153610437,0.9587000426931165,0.9999999999999994,0.5501304660788192,0.44986953392118023,0.0,0.0,0.0,0.0,0.31090940393959104,ok,
voter_contrarians,30,0,0,4,4,0.13333333333333333,35,40,1.05,0.95,135,628,0.019761696999921696,0.016978736999590183,0.03683292900041124,0.9999653272454359,0.9974215431172218,1.0000000000000002,0.5373555638377621,0.46264443616223744,0.0,0.0,0.0,0.0,0.27267178877831744,ok,
crossinh_zealots,30,2,2,0,4,0.13333333333333333,35,40,1.05,0.95,378,1404,0.0238410029996885,0.017300880999755464,0.04125736400055757,0.7682039448965806,0.4724935658189424,0.9999999411180291,0.6059785742178299,0.3940213669002,0.7024164764167321,0.29834326537582556,0.7017422708254828,0.0,1.7116328854138831,ok,
crossinh_contrarians,30,0,0,4,4,0.13333333333333333,35,40,1.05,0.95,1890,11992,0.027577386999837472,0.05290533500010497,0.08061976899989531,0.8405090956382065,0.6000126181709263,0.9999999719971332,0.5594545675346455,0.44054540446248713,0.0,0.0,0.0,0.0,1.165294308443244,ok,
voter_zealots,30,3,3,0,6,0.2,35,40,1.05,0.95,25,48,0.021005798999794933,0.008944568000515574,0.030018042999472527,0.9998524560821326,0.9839264213156879,0.9999999999999989,0.5502901023890784,0.4497098976109214,0.0,0.0,0.0,0.0,0.3390929960255899,ok,
voter_contrarians,30,0,0,6,6,0.2,35,40,1.05,0.95,175,872,0.017689328999949794,0.022123126000224147,0.03988573499918857,0.9999966294860627,0.9998004942905244,1.000000000000001,0.5307765959379608,0.46922340406203883,0.0,0.0,0.0,0.0,0.2740656352569977,ok,
crossinh_zealots,30,3,3,0,6,0.2,35,40,1.05,0.95,325,1200,0.01960074600083317,0.025880231999508396,0.04558898899995256,0.8066806102735561,0.49399884047586995,0.9999999420585993,0.6033612178607557,0.3966387241978435,0.7169161916786924,0.0,0.0,0.0,1.6920334124163838,ok,
crossinh_contrarians,30,0,0,6,6,0.2,35,40,1.05,0.95,2275,15154,0.029994409999744676,0.05411274199923355,0.08424809899952379,0.9342195990937887,0.7562157969596904,0.9999999952069158,0.5388072152565937,0.46119277995032204,0.0,0.0,0.0,0.0,0.8998887119736484,ok,
voter_zealots,30,4,4,0,8,0.26666666666666666,35,40,1.05,0.95,23,44,0.017417541000213532,0.025950859999284148,0.04343571899971721,0.9999577318167894,0.993470966989219,0.9999999999999993,0.5504789272030656,0.4495210727969351,0.0,0.0,0.0,0.0,0.37289707419017776,ok,
voter_contrarians,30,0,0,8,8,0.26666666666666666,35,40,1.05,0.95,207,1068,0.020883967999907327,0.021401186000730377,0.0424180959998921,0.9999994974392058,0.9999843777051012,0.9999999999999991,0.5241169698064947,0.4758830301935048,0.0,0.0,0.0,0.0,0.2742850240221509,ok,
crossinh_zealots,30,4,4,0,8,0.26666666666666666,35,40,1.05,0.95,276,1012,0.02079861800029903,0.028278083999794035,0.04917395000029501,0.8661857619820864,0.5315537289199205,0.9999999564909655,0.6002594450861258,0.39974051140483996,0.0,0.0,0.0,0.0,1.668099752564328,ok,
crossinh_contrarians,30,0,0,8,8,0.26666666666666666,35,40,1.05,0.95,2484,16932,0.03151811899988388,0.06110702800015133,0.09280110400050035,0.9785491752717004,0.902322404666273,0.9999999997886453,0.5224586555431089,0.4775413442455372,0.0,0.0,0.0,0.0,0.6869263864076052,ok,
voter_zealots,30,6,6,0,12,0.4,35,40,1.05,0.95,19,36,0.017540273000122397,0.018680424000194762,0.03630500300005224,0.9999919048350189,0.9985607008259838,0.9999999999999992,0.5509833289919245,0.44901667100807474,0.0,0.0,0.0,0.0,0.46577025628780616,ok,
voter_contrarians,30,0,0,12,12,0.4,35,40,1.05,0.95,247,1316,0.019313116000375885,0.02323677000003954,0.04264329500074382,0.9999999752896587,0.9999998911981843,1.0000000000000004,0.5109620964311458,0.4890379035688556,0.0,0.0,0.0,0.0,0.2710467370116276,ok,
crossinh_zealots,30,6,6,0,12,0.4,35,40,1.05,0.95,190,684,0.019171762999576458,0.018720467000093777,0.03797510999993392,0.9628217475335066,0.691373115816789,0.9999999890941553,0.5932607734505603,0.4067392156435948,0.0,0.0,0.0,0.0,1.6305524831628762,ok,
crossinh_contrarians,30,0,0,12,12,0.4,35,40,1.05,0.95,2470,17104,0.02904803000001266,0.05841764300021168,0.08764565900037269,0.9987465261216801,0.99590431483502,0.9999999999999979,0.500914990873778,0.49908500912621934,0.0,0.0,0.0,0.0,0.42815468749664115,ok,
voter_zealots,30,8,8,0,16,0.5333333333333333,35,40,1.05,0.95,15,28,0.019094666999990295,0.02105639900037204,0.04021417300009489,0.999994817447996,0.9994063611540545,0.9999999999999993,0.5517785234899323,0.44822147651006683,0.0,0.0,0.0,0.0,0.6202900287631833,ok,
