model,N,Za,Zb,C,disruptor_count,disruptor_fraction,t,h,qa,qb,stable_a,stable_a_ci_lo,stable_a_ci_hi,stable_b,stable_b_ci_lo,stable_b_ci_hi,stable_consensus,stable_consensus_ci_lo,stable_consensus_ci_hi,reach_a,reach_a_ci_lo,reach_a_ci_hi,reach_b,reach_b_ci_lo,reach_b_ci_hi,reach_consensus,reach_consensus_ci_lo,reach_consensus_ci_hi,episodes,confidence,base_seed,config_seed,total_time,status,error
voter_contrarians,20,0,0,12,12,0.6,35,40,1.05,0.95,0.0,0.0,0.0014722507487849438,0.0,0.0,0.0014722507487849438,0.0,0.0,0.0014722507487849438,1.0,0.9985277492512151,1.0,1.0,0.9985277492512151,1.0,1.0,0.9985277492512151,1.0,4500,0.99,0,13429842968518510816,10.671872218001226,ok,
crossinh_zealots,20,6,6,0,12,0.6,35,40,1.05,0.95,0.0,0.0,0.0014722507487849438,0.0,0.0,0.0014722507487849438,0.0,0.0,0.0014722507487849438,0.9937777777777778,0.9899472426674891,0.9961543834819331,0.9577777777777777,0.9493584077030223,0.9648492205003124,1.0,0.9985277492512151,1.0,4500,0.99,0,9939210473747529665,5.762839406997955,ok,
crossinh_contrarians,20,0,0,12,12,0.6,35,40,1.05,0.95,0.0,0.0,0.0014722507487849438,0.0,0.0,0.0014722507487849438,0.0,0.0,0.0014722507487849438,1.0,0.9985277492512151,1.0,1.0,0.9985277492512151,1.0,1.0,0.9985277492512151,1.0,4500,0.99,0,10963921808463076740,11.457083374996728,ok,
voter_zealots,50,0,0,0,0,0.0,35,40,1.05,0.95,0.8635555555555555,0.8498385845072421,0.8762020367260858,0.068,0.05895562621905722,0.07831639842789298,0.9315555555555556,0.9212107126822536,0.9406296824492396,0.9775555555555555,0.9711256491771222,0.9825792988854828,0.7113333333333334,0.6936323685552089,0.7284120267949713,1.0,0.9985277492512151,1.0,4500,0.99,0,6539591449098291207,5.87281290700048,ok,
voter_contrarians,50,0,0,0,0,0.0,35,40,1.05,0.95,0.8615555555555555,0.8477609080186687,0.8742856022176543,0.06577777777777778,0.05688395861974618,0.07595016491942086,0.9273333333333333,0.9167239492540633,0.9366844337726419,0.9775555555555555,0.9711256491771222,0.9825792988854828,0.7164444444444444,0.6988286183484712,0.7334229495496104,1.0,0.9985277492512151,1.0,4500,0.99,0,15852119305776717449,6.253261910002038,ok,
crossinh_zealots,50,0,0,0,0,0.0,35,40,1.05,0.95,0.7275555555555555,0.7101342987700978,0.7443067746668994,0.27244444444444443,0.2556932253331004,0.28986570122990213,1.0,0.9985277492512151,1.0,0.7455555555555555,0.7284781665455518,0.7619099058644894,0.3253333333333333,0.30761236824359217,0.34356860468465,1.0,0.9985277492512151,1.0,4500,0.99,0,11881256903863728628,2.9123534520040266,ok,
crossinh_contrarians,50,0,0,0,0,0.0,35,40,1.05,0.95,0.7164444444444444,0.6988286183484712,0.7334229495496104,0.28355555555555556,0.2665770504503897,0.3011713816515288,1.0,0.9985277492512151,1.0,0.7326666666666667,0.7153393789997632,0.7493088669851357,0.334,0.31614596623940333,0.3523428210091933,1.0,0.9985277492512151,1.0,4500,0.99,0,7847198233784183845,2.990604484002688,ok,
voter_zealots,50,3,3,0,6,0.12,35,40,1.05,0.95,0.09733333333333333,0.08653744858054375,0.10931487068914437,0.0,0.0,0.0014722507487849438,0.09733333333333333,0.08653744858054375,0.10931487068914437,0.9993333333333333,0.9973647865727697,0.9998315923461103,0.9026666666666666,0.8906851293108556,0.9134625514194562,1.0,0.9985277492512151,1.0,4500,0.99,0,11037335672523503926,19.758382872001675,ok,
voter_contrarians,50,0,0,6,6,0.12,35,40,1.05,0.95,0.0006666666666666666,0.00016840765388963707,0.0026352134272302602,0.0,0.0,0.0014722507487849438,0.0006666666666666666,0.00016840765388963707,0.0026352134272302602,1.0,0.9985277492512151,1.0,0.9893333333333333,0.9846059797846113,0.9926198441492445,1.0,0.9985277492512151,1.0,4500,0.99,0,11514171263961511337,29.220962348001194,ok,
crossinh_zealots,50,3,3,0,6,0.12,35,40,1.05,0.95,0.7466666666666667,0.729611708404058,0.7629953145598748,0.2528888888888889,0.2365705621458058,0.26993483466870477,0.9995555555555555,0.9977269420250728,0.9999132270045857,0.7693333333333333,0.7527682513342393,0.7851053629290818,0.34555555555555556,0.32753474029367907,0.36403113271539006,1.0,0.9985277492512151,1.0,4500,0.99,0,13188780206006825369,9.220999089993711,ok,
crossinh_contrarians,50,0,0,6,6,0.12,35,40,1.05,0.95,0.7293333333333333,0.7119444374818719,0.746046956841352,0.19177777777777777,0.17711853725486099,0.2073445790956122,0.9211111111111111,0.910129367880509,0.9308528920444031,0.7997777777777778,0.783975728716772,0.8146971307231788,0.41933333333333334,0.4005180860129223,0.4383861037745483,1.0,0.9985277492512151,1.0,4500,0.99,0,2805926127262183241,18.398973620001925,ok,
voter_zealots,50,5,5,0,10,0.2,35,40,1.05,0.95,0.004888888888888889,0.0028440434741396022,0.008391589711768333,0.0,0.0,0.0014722507487849438,0.004888888888888889,0.0028440434741396022,0.008391589711768333,0.9997777777777778,0.998110049781248,0.9999739093591887,0.9571111111111111,0.9486350550441865,0.9642412028268131,1.0,0.9985277492512151,1.0,4500,0.99,0,14863818007850141109,19.7858641060011,ok,
voter_contrarians,50,0,0,10,10,0.2,35,40,1.05,0.95,0.0,0.0,0.0014722507487849438,0.0,0.0,0.0014722507487849438,0.0,0.0,0.0014722507487849438,1.0,0.9985277492512151,1.0,0.9991111111111111,0.9970170815195558,0.9997355072885459,1.0,0.9985277492512151,1.0,4500,0.99,0,6553385651818765976,30.180087834000005,ok,
crossinh_zealots,50,5,5,0,10,0.2,35,40,1.05,0.95,0.7735555555555556,0.7570888013740386,0.7892168249940706,0.2008888888888889,0.18594946092058537,0.21670904997179888,0.9744444444444444,0.9676508154686589,0.9798410710430496,0.8106666666666666,0.7951700254389437,0.8252485494291445,0.3488888888888889,0.3308221859750256,0.36740053869571837,1.0,0.9985277492512151,1.0,4500,0.99,0,5902351486841408340,13.088718541999697,ok,
crossinh_contrarians,50,0,0,10,10,0.2,35,40,1.05,0.95,0.07755555555555556,0.06789583393813925,0.08845916547227861,0.0008888888888888889,0.0002644927114541086,0.0029829184804441066,0.07844444444444444,0.06872991954819464,0.08940024030533648,0.9057777777777778,0.8939551653863933,0.9164055768948149,0.5737777777777778,0.5546938905846344,0.5926444261937673,1.0,0.9985277492512151,1.0,4500,0.99,0,9246013780289282335,27.97617062000063,ok,
voter_zealots,50,6,6,0,12,0.24,35,40,1.05,0.95,0.00044444444444444447,8.677299541430235e-05,0.002273057974927277,0.0,0.0,0.0014722507487849438,0.00044444444444444447,8.677299541430235e-05,0.002273057974927277,1.0,0.9985277492512151,1.0,0.9773333333333334,0.9708765828913397,0.9823845750604872,1.0,0.9985277492512151,1.0,4500,0.99,0,3738064943149151064,18.9233693089991,ok,
voter_contrarians,50,0,0,12,12,0.24,35,40,1.05,0.95,0.0,0.0,0.0014722507487849438,0.0,0.0,0.0014722507487849438,0.0,0.0,0.0014722507487849438,1.0,0.9985277492512151,1.0,0.9995555555555555,0.9977269420250728,0.9999132270045857,1.0,0.9985277492512151,1.0,4500,0.99,0,10857425729984122491,30.55390994499612,ok,
crossinh_zealots,50,6,6,0,12,0.24,35,40,1.05,0.95,0.7868888888888889,0.7707481469226359,0.8021848860921722,0.13066666666666665,0.11826696858943037,0.1441538672970054,0.9175555555555556,0.9063696316238689,0.9275119865285902,0.838,0.8233561960491023,0.851648562444719,0.35555555555555557,0.33740001919267465,0.3741364088014188,1.0,0.9985277492512151,1.0,4500,0.99,0,4167339341004319814,14.799641135999991,ok,
crossinh_contrarians,50,0,0,12,12,0.24,35,40,1.05,0.95,0.0024444444444444444,0.0011455593705951002,0.0052083825967513386,0.0,0.0,0.0014722507487849438,0.0024444444444444444,0.0011455593705951002,0.0052083825967513386,0.9413333333333334,0.9316432778282362,0.9497238821775029,0.6975555555555556,0.6796383606426747,0.71489104783925,1.0,0.9985277492512151,1.0,4500,0.99,0,17790733182124528052,30.473337399002048,ok,
voter_zealots,50,10,10,0,20,0.4,35,40,1.05,0.95,0.0,0.0,0.0014722507487849438,0.0,0.0,0.0014722507487849438,0.0,0.0,0.0014722507487849438,1.0,0.9985277492512151,1.0,0.9951111111111111,0.9916084102882317,0.9971559565258603,1.0,0.9985277492512151,1.0,4500,0.99,0,10010545476204942767,15.809476012000232,ok,
voter_contrarians,50,0,0,20,20,0.4,35,40,1.05,0.95,0.0,0.0,0.0014722507487849438,0.0,0.0,0.0014722507487849438,0.0,0.0,0.0014722507487849438,1.0,0.9985277492512151,1.0,1.0,0.9985277492512151,1.0,1.0,0.9985277492512151,1.0,4500,0.99,0,14893440909269197991,29.67041931800486,ok,
crossinh_zealots,50,10,10,0,20,0.4,35,40,1.05,0.95,0.08333333333333333,0.07332415824572933,0.09456938404492479,0.0,0.0,0.0014722507487849438,0.08333333333333333,0.07332415824572933,0.09456938404492479,0.9571111111111111,0.9486350550441865,0.9642412028268131,0.5086666666666667,0.48947182521864474,0.5278359891017097,1.0,0.9985277492512151,1.0,4500,0.99,0,5044679986579633776,18.041752133001864,ok,
crossinh_contrarians,50,0,0,20,20,0.4,35,40,1.05,0.95,0.0,0.0,0.0014722507487849438,0.0,0.0,0.0014722507487849438,0.0,0.0,0.0014722507487849438,0.9948888888888889,0.9913288160094839,0.99699176069383,0.9773333333333334,0.9708765828913397,0.9823845750604872,1.0,0.9985277492512151,1.0,4500,0.99,0,17092694933376583268,32.147268829001405,ok,
voter_zealots,50,13,13,0,26,0.52,35,40,1.05,0.95,0.0,0.0,0.0014722507487849438,0.0,0.0,0.0014722507487849438,0.0,0.0,0.0014722507487849438,1.0,0.9985277492512151,1.0,0.9971111111111111,0.9941937140663112,0.9985647637447858,1.0,0.9985277492512151,1.0,4500,0.99,0,9089888644799958765,12.760935052996501,ok,
voter_contrarians,50,0,0,26,26,0.52,35,40,1.05,0.95,0.0,0.0,0.0014722507487849438,0.0,0.0,0.0014722507487849438,0.0,0.0,0.0014722507487849438,1.0,0.9985277492512151,1.0,1.0,0.9985277492512151,1.0,1.0,0.9985277492512151,1.0,4500,0.99,0,9227161222688910591,27.98698556599993,ok,
crossinh_zealots,50,13,13,0,26,0.52,35,40,1.05,0.95,0.00044444444444444447,8.677299541430235e-05,0.002273057974927277,0.0,0.0,0.0014722507487849438,0.00044444444444444447,8.677299541430235e-05,0.002273057974927277,0.9817777777777777,0.975887560900995,0.986249399266398,0.6811111111111111,0.6629603391191349,0.6987286011651942,1.0,0.9985277492512151,1.0,4500,0.99,0,2255246415528641507,16.166041545999178,ok,
crossinh_contrarians,50,0,0,26,26,0.52,35,40,1.05,0.95,0.0,0.0,0.0014722507487849438,0.0,0.0,0.0014722507487849438,0.0,0.0,0.0014722507487849438,1.0,0.9985277492512151,1.0,0.9995555555555555,0.9977269420250728,0.9999132270045857,1.0,0.9985277492512151,1.0,4500,0.99,0,5949551557392964494,31.46495009800128,ok,
voter_zealots,50,15,15,0,30,0.6,35,40,1.05,0.95,0.0,0.0,0.0014722507487849438,0.0,0.0,0.0014722507487849438,0.0,0.0,0.0014722507487849438,1.0,0.9985277492512151,1.0,0.9968888888888889,0.9938987505106218,0.9984159371896968,1.0,0.9985277492512151,1.0,4500,0.99,0,13017213492902565522,10.483176367000851,ok,
voter_contrarians,50,0,0,30,30,0.6,35,40,1.05,0.95,0.0,0.0,0.0014722507487849438,0.0,0.0,0.0014722507487849438,0.0,0.0,0.0014722507487849438,1.0,0.9985277492512151,1.0,1.0,0.9985277492512151,1.0,1.0,0.9985277492512151,1.0,4500,0.99,0,7658222367196778130,27.041029464999156,ok,
crossinh_zealots,50,15,15,0,30,0.6,35,40,1.05,0.95,0.0,0.0,0.0014722507487849438,0.0,0.0,0.0014722507487849438,0.0,0.0,0.0014722507487849438,0.9904444444444445,0.9859203994471942,0.9935243750405532,0.758,0.741182152514434,0.774058166099193,1.0,0.9985277492512151,1.0,4500,0.99,0,11039338809981836896,14.619464916002471,ok,
crossinh_contrarians,50,0,0,30,30,0.6,35,40,1.05,0.95,0.0,0.0,0.0014722507487849438,0.0,0.0,0.0014722507487849438,0.0,0.0,0.0014722507487849438,1.0,0.9985277492512151,1.0,1.0,0.9985277492512151,1.0,1.0,0.9985277492512151,1.0,4500,0.99,0,12096176159898833933,29.88009345300088,ok,
