model,N,Za,Zb,C,disruptor_count,disruptor_fraction,t,h,qa,qb,simulation_horizon,stable_a_successes,stable_a,stable_a_ci_lo,stable_a_ci_hi,stable_b_successes,stable_b,stable_b_ci_lo,stable_b_ci_hi,stable_consensus_successes,stable_consensus,stable_consensus_ci_lo,stable_consensus_ci_hi,episodes,confidence,base_seed,config_seed,total_time,status,error
voter_zealots,100,8,8,0,16,0.16,35,5,1.05,0.95,115,4259,0.9464444444444444,0.9371236499355522,0.9544506826180883,342,0.076,0.06643713438346042,0.0868113342515092,4333,0.9628888888888889,0.9549222337274589,0.9694925670237772,4500,0.99,0,6174620964146653080,104.08841424199636,ok,
voter_zealots,100,8,8,0,16,0.16,35,10,1.05,0.95,115,3487,0.7748888888888888,0.7584536668852555,0.7905147001475235,53,0.011777777777777778,0.008295102851303386,0.016698023768732403,3520,0.7822222222222223,0.7659646413877663,0.7976487993006973,4500,0.99,0,6174620964146653080,104.08841424199636,ok,
voter_zealots,100,8,8,0,16,0.16,35,20,1.05,0.95,115,1679,0.3731111111111111,0.35474008983269023,0.3918557569128903,2,0.00044444444444444447,8.677299541430235e-05,0.002273057974927277,1681,0.37355555555555553,0.35517942089391624,0.39230400607322086,4500,0.99,0,6174620964146653080,104.08841424199636,ok,
voter_zealots,100,8,8,0,16,0.16,35,30,1.05,0.95,115,739,0.16422222222222221,0.15049280137467777,0.178940341239284,0,0.0,0.0,0.0014722507487849438,739,0.16422222222222221,0.15049280137467777,0.178940341239284,4500,0.99,0,6174620964146653080,104.08841424199636,ok,
voter_zealots,100,8,8,0,16,0.16,35,40,1.05,0.95,115,286,0.06355555555555556,0.05481537617415093,0.07358084625723292,0,0.0,0.0,0.0014722507487849438,286,0.06355555555555556,0.05481537617415093,0.07358084625723292,4500,0.99,0,6174620964146653080,104.08841424199636,ok,
voter_zealots,100,8,8,0,16,0.16,35,60,1.05,0.95,115,39,0.008666666666666666,0.0057606824166089934,0.013019382652530345,0,0.0,0.0,0.0014722507487849438,39,0.008666666666666666,0.0057606824166089934,0.013019382652530345,4500,0.99,0,6174620964146653080,104.08841424199636,ok,
voter_zealots,100,8,8,0,16,0.16,35,80,1.05,0.95,115,7,0.0015555555555555555,0.0006085815943231792,0.003970199929909988,0,0.0,0.0,0.0014722507487849438,7,0.0015555555555555555,0.0006085815943231792,0.003970199929909988,4500,0.99,0,6174620964146653080,104.08841424199636,ok,
voter_zealots,100,10,10,0,20,0.2,35,0,1.05,0.95,115,4500,1.0,0.9985277492512151,1.0,3986,0.8857777777777778,0.8729918664451763,0.8974277658659833,4500,1.0,0.9985277492512151,1.0,4500,0.99,0,6874711657434007413,107.14998752000974,ok,
voter_zealots,100,10,10,0,20,0.2,35,5,1.05,0.95,115,4104,0.912,0.9005065194469568,0.9222803459360445,259,0.057555555555555554,0.049246839922885005,0.06716704951748424,4174,0.9275555555555556,0.9169598457508898,0.9368923273865937,4500,0.99,0,6874711657434007413,107.14998752000974,ok,
voter_zealots,100,10,10,0,20,0.2,35,10,1.05,0.95,115,2873,0.6384444444444445,0.6198046274908904,0.6566766115240017,28,0.006222222222222222,0.003845616518066919,0.010052757332510922,2890,0.6422222222222222,0.623619165944741,0.6604065049533825,4500,0.99,0,6874711657434007413,107.14998752000974,ok,
